,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
42,Audio-Technica ATH-ANC33iS QuietPoint Active Noise-Cancelling In-Ear Headphones with In-Line Microphone & Control,Visit the Audio-Technica Store,$38.99,3.6 out of 5,/Technica-ATH-ANC33IS-QuietPoint-Noise-Cancelling-Earbuds/dp/B00CL3TAOQ/ref=sr_1_8?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-8,718 ratings,"['noise cancelling', 'sound quality', 'noise cancellation', 'active noise', 'noise reduction', 'audio technica', 'battery pack', 'background noise', 'battery life', 'aaa battery', 'volume control', 'foam tips', 'ambient noise']"
43,Skullcandy Ink'd 2.0 Mic'd Ear Bud Headphone (Black),Visit the Skullcandy Store,$16.95,4.1 out of 5,/Skullcandy-Microphone-Tangle-Reducing-Noise-Isolating-Precision/dp/B007136EDG/ref=sr_1_14?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-14,"4,941 ratings","['sound quality', 'stopped working', 'skullcandy', 'waste of money', 'earbud', 'another pair', 'volume control', 'good sound', 'listening to music', 'much better', 'headphones', 'last long', 'phone calls', 'left earbud']"
44,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds w/Improved Battery and Call Quality (Wireless Charging Case Included), Purple with Fast Charge Wireless Charging Pad",Visit the SAMSUNG Store,No Price,4.8 out of 5,/Samsung-Wireless-Improved-Charging-Included/dp/B08B1NNMNQ/ref=sr_1_75?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298302&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-75,139 ratings,['No Review']
45,"Panasonic RP-HJE120 ErgoFit In-Ear Headphones Stereo Earbuds (6-Pack, Black)",Visit the Panasonic Store,$52.99,4.9 out of 5,/Panasonic-RP-HJE120-ErgoFit-Headphones-Earbuds/dp/B00HXTHFFO/ref=sr_1_21?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-21,28 ratings,"['earbuds', 'pack', 'decent', 'earphones', 'value', 'earbuds']"
46,"Skullcandy XTFree Bluetooth Wireless Sweat-Resistant Earbud with Microphone, Lightweight and Secure Fit, 6-Hour Rechargeable Battery, Pureclean Tech to Keep Earbuds Fresh, Black/Mint/Swirl",Visit the Skullcandy Store,$39.98,3.8 out of 5,/Skullcandy-Sweat-Resistant-Microphone-Lightweight-Rechargeable/dp/B0725NQX48/ref=sr_1_46?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298659&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-46,821 ratings,"['battery life', 'sound quality', 'skullcandy', 'stopped working', 'phone in my pocket', 'hold a charge', 'bluetooth connection', 'great sound', 'good sound', 'second pair', 'quality is very good', 'bluetooth range']"
47,Panasonic SAKIOTO Sealed Earbuds (Dahlia Black) Inner Earphones,Visit the Panasonic Store,No Price,4 out of 5,/Panasonic-SAKIOTO-Sealed-Earbuds-Earphones/dp/B008CN2KF0/ref=sr_1_63?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-63,6 ratings,['No Review']
48,Jabra Earboom Headset 2.5mm Universal Jack,Visit the Jabra Store,$9.99,2.9 out of 5,/Jabra-Earboom-Headset-2-5mm-Universal/dp/B001X93VZ8/ref=sr_1_16?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-16,20 ratings,['No Review']
49,Koss BT190iK Wireless Bluetooth Earbuds | in-line Microphone & Touch Controls | Sweat Resistant | Three Cushion Sizes Included | 6 Hour Battery Life | Light Weight | Black,Visit the Koss Store,$49.99,3.2 out of 5,/Koss-Wireless-Bluetooth-Microphone-Resistant/dp/B06XC5DLQZ/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-5,73 ratings,"['sound great', 'right side', 'highly recommend', 'good sound', 'sound quality', 'around neck', 'great sound', 'bluetooth earbuds', 'headphones', 'ear', 'stay', 'bass', 'buds', 'annoying', 'cord']"
50,Shure E4c Sound Isolating Earphones,Visit the Shure Store,No Price,3.1 out of 5,/Shure-E4c-Sound-Isolating-Earphones/dp/B0007XGOTG/ref=sr_1_43?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298695&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-43,96 ratings,"['ear canal', 'sound quality', 'noise cancelling', 'outside noise', 'high end', 'much better', 'low end', 'make sure', 'yellow foam', 'year warranty', 'sound isolation', 'tight seal', 'ultimate ears', 'sound good', 'triple flange']"
51,Sony Deep Bass Earphones - Metallic White,Visit the Sony Store,$27.75,4.3 out of 5,/Sony-Deep-Bass-Earphones-Metallic/dp/B00I3LUTBI/ref=sr_1_125?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298233&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-125,469 ratings,['No Review']
